desc	data_type	frequency	ticker
gdp	BILLIONS	quarter	GDP
city cpi	NUMERICAL	month	CPIAUCSL
city cpi less food and energy	NUMERICAL	month	CPILFESL
1m tbill	RATE	daily	DGS1MO
2m tbill	RATE	daily	DGS2MO
3m tbill	RATE	daily	DGS3MO
6m tbill	RATE	daily	DGS6MO
1y tbill	RATE	daily	DGS1
2y tbill	RATE	daily	DGS2
3y tbill	RATE	daily	DGS3
5y tbill	RATE	daily	DGS5
7y tbill	RATE	daily	DGS7
10y tbill	RATE	daily	DGS10
20y tbill	RATE	daily	DGS20
30y tbill	RATE	daily	DGS30
fed funds	RATE	weekly	FF
gov debt	BILLIONS	quarter	GFDEBTN
gov debt as per of gdp	RATE	quarter	GFDEGDQ188S
gov debt held by fed	BILLIONS	quarter	FDHBFRBN
FED TOTAL ASSETS	MILLION	weekly	WALCL
FED SECURITIES HOLDINGS	MILLION	weekly	WSHONBNL
RESERVE BAL AT FED	BILLIONS	weekly	WRESBAL
MORTGAGE 20 FIXED	RATE	weekly	MORTGAGE30US
UNEMPLOYMENT	RATE	month	UNRATE
NON FARM PAYROLL	THOUSANDS	month	PAYEMS
POPULATION	THOUSANDS	month	POPTHM